Name Of Item,Code,Sale QTY,Amt,Amt+GST,Closing ST,Month,Year
BORA KHASKHAS,BK7,2.0,857.14,900.0,4.0,4.0,2024.0
CHITALE BAKARWADI,CB3,5.0,477.7,535.02,2.0,4.0,2024.0
FAIR & LOVELY MENS GLOW & HANDSOME CREAM,FLM3,1.0,144.07,170.0,8.0,4.0,2024.0
GILL SHAVING CRM LIME,GSC2,2.0,66.1,78.0,1.0,4.0,2024.0
LIZOL DSC FLORAL CITRIC,LDF1,4.0,139.0,164.02,20.0,4.0,2024.0
RAJBHOG,R6,1.0,169.49,200.0,1.0,4.0,2024.0
SENSODYNE PASTE F GEL,SPF1,5.0,521.2,615.02,4.0,4.0,2024.0
CINTHOL LIME REF. SOAP,CLR1,2.25,257.42,303.76,9.75,4.0,2024.0
DETTOL HANDWASH POUCH,DHP1,4.0,316.95,374.0,10.0,4.0,2024.0
DETTOL HANDWASH SENSITIVE POUCH,DHP2,1.0,81.36,96.0,0.0,4.0,2024.0
DETTOL ORIGINAL 5N,DO2,16.0,2115.21,2495.95,35.0,4.0,2024.0
DOVE BABY SOAP RICH MOIST,DBS1,2.0,101.7,120.01,1.0,4.0,2024.0
DOVE BAR 75GM*3,DB2,13.0,1301.65,1535.95,9.0,4.0,2024.0
DOVE BODY WASH REFRESHING GREEN TEA &CUC,DBW2,1.0,127.12,150.0,0.0,4.0,2024.0
DOVE SOAP,DS5,6.0,1011.87,1194.01,9.0,4.0,2024.0
DOVE SOAP 5N,DS6,1.0,329.66,389.0,18.0,4.0,2024.0
DOVE SOAP FRESH MOIST 6N,DSF1,4.0,934.76,1103.02,2.0,4.0,2024.0
DOVE SOAP PINK /ROSA,DSP1,4.0,271.2,320.02,11.0,4.0,2024.0
DOVE SOAP PINK 3N,DSP2,1.0,242.37,286.0,1.0,4.0,2024.0
GODREJ NO-1 LIME ALOVERA,GNL5,10.2,985.42,1162.8,25.8,4.0,2024.0
GODREJ NO-1 SANDAL,GNS1,6.0,579.66,684.0,35.0,4.0,2024.0
HIMALAYA AYURVEDA SOAP,HSA2,5.0,169.5,200.01,53.0,4.0,2024.0
HL DOVE CARE PROTECT BATHING BAR,HDC1,1.0,186.44,220.0,3.0,4.0,2024.0
LIFE BOUY HANDWASH 190+185,LHT1,1.0,78.81,93.0,4.0,4.0,2024.0
LIFE BOUY PACK OF 4 SOAP,LBP1,6.0,733.04,864.99,17.0,4.0,2024.0
LIFEBUOY HANDWASH TOTAL 80ML,LHT2,7.0,142.38,168.01,5.0,4.0,2024.0
LIRIL LIME & TEA SOAP,LLT3,3.0,185.59,219.0,9.0,4.0,2024.0
LIRIL MINT,LM1,6.0,422.04,498.01,8.0,4.0,2024.0
LUX SOAP FLAWLESS GLOW,LSV2,2.0,267.8,316.0,8.0,4.0,2024.0
LUX SOAP VT,LSV1,6.0,803.4,948.01,16.0,4.0,2024.0
MEDIMIX SOAP,MS5,11.0,1389.82,1639.99,26.0,4.0,2024.0
MOTI GULAB SOAP,MGS3,1.0,55.93,66.0,9.0,4.0,2024.0
MOTI GULAB SOAP,MGS2,4.0,118.64,140.0,60.0,4.0,2024.0
MYSORE SANDAL GOLD,MSG1,2.0,144.06,169.99,3.0,4.0,2024.0
MYSORE SANDAL ROSE,MSR1,1.0,55.08,64.99,11.0,4.0,2024.0
MYSORE SANDAL SOAP,MSS4,8.0,440.68,520.0,0.0,4.0,2024.0
MYSORE SOAP SJR,MSS2,1.0,169.49,200.0,11.0,4.0,2024.0
P ALOE VERA SOAP,PAV1,21.34,1971.22,2326.04,19.34,4.0,2024.0
PA .HALDI CHANDAN SOAP,PCS2,10.0,1050.81,1239.96,21.67,4.0,2024.0
